"id","report_id","chapter_operations","chapter_fees","total_sum_begin_rub","total_sum_end_rub","operations_credit_summ","operations_debet_summ","operations_nds_summ","operations_saldo_summ","fee_summ","inserted","updated"
1,1,true,true,0.000000,301.100000,10000.000000,9698.900000,0.000000,301.100000,303.700000,2024-04-21 19:05:29.038,
2,2,true,false,301.100000,1151.100000,850.000000,0.000000,0.000000,1151.100000,0.000000,2024-04-21 19:05:29.038,
3,3,false,false,1151.100000,1151.100000,0.000000,0.000000,0.000000,0.000000,0.000000,2024-04-21 19:05:29.038,
4,4,false,false,1151.100000,1151.100000,0.000000,0.000000,0.000000,0.000000,0.000000,2024-04-21 19:05:29.038,
5,5,false,false,1151.100000,1151.100000,0.000000,0.000000,0.000000,0.000000,0.000000,2024-04-21 19:05:29.038,
6,6,false,false,1151.100000,1151.100000,0.000000,0.000000,0.000000,0.000000,0.000000,2024-04-21 19:05:29.038,
7,7,true,true,1151.100000,10296.430000,90124.920000,80979.590000,0.000000,10296.430000,338.780000,2024-04-21 19:05:29.038,
8,8,true,false,10296.430000,11383.590000,1087.160000,0.000000,0.000000,11383.590000,0.000000,2024-04-21 19:05:29.038,
9,9,true,true,11383.590000,13529.930000,42631.010000,40484.670000,0.000000,13529.930000,318.880000,2024-04-21 19:05:29.038,
10,10,true,false,13529.930000,14441.960000,942.030000,30.000000,0.000000,14441.960000,0.000000,2024-04-21 19:05:29.038,
11,11,true,false,14441.960000,7914.890000,26619.240000,33146.310000,0.000000,7914.890000,0.000000,2024-04-21 19:05:29.038,
12,12,true,false,7914.890000,9724.090000,1809.200000,0.000000,0.000000,9724.090000,0.000000,2024-04-21 19:05:29.038,
